epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,374.572,1.01778,3.69319,0.21291,1.19528,1.31929,0.87685,0.81714,0.92664,0.50933,0.81346,0.7541,0.81748,0.4023,1.42301,2.80135,0.01129,0.90104,1.52141,0.0002675,0.0002675,0.0002675
107,378.043,1.02389,3.60639,0.19718,1.05943,1.29404,0.87685,0.81714,0.92664,0.50933,0.81346,0.7541,0.81748,0.4023,1.42301,2.80135,0.01129,0.90104,1.52141,0.000251,0.000251,0.000251
108,381.546,1.03759,3.70627,0.22563,1.08537,1.33793,0.84087,0.86632,0.92201,0.46033,0.80687,0.7534,0.81574,0.39951,1.57133,2.74687,0.01121,0.9269,1.64254,0.0002345,0.0002345,0.0002345
109,384.991,1.02189,3.51944,0.21396,1.09719,1.28878,0.89686,0.81967,0.93544,0.43998,0.80089,0.7541,0.8132,0.40253,1.62874,2.71905,0.01096,0.94725,1.69779,0.000218,0.000218,0.000218
110,388.446,0.96593,3.42619,0.2007,1.03314,1.26737,0.91109,0.86885,0.93998,0.44929,0.79929,0.78345,0.81393,0.38219,1.61851,2.76151,0.01131,0.96156,1.70081,0.0002015,0.0002015,0.0002015
111,392.852,0.90618,3.17217,0.05713,1.01914,1.29302,0.8533,0.85822,0.92603,0.46412,0.78728,0.78877,0.81294,0.35593,1.54074,2.86917,0.01215,0.93894,1.64132,0.000185,0.000185,0.000185
112,396.347,0.95562,3.25627,0.07002,1.03401,1.30313,0.85018,0.83607,0.9239,0.4862,0.81865,0.80328,0.8265,0.35816,1.46464,2.89961,0.01178,0.91551,1.58023,0.0001685,0.0001685,0.0001685
113,399.857,0.93375,3.27017,0.07667,1.03437,1.33706,0.85347,0.83607,0.92134,0.52115,0.81884,0.80328,0.82659,0.36886,1.39335,2.90447,0.0121,0.89822,1.52281,0.000152,0.000152,0.000152
114,403.292,0.87313,3.16428,0.07454,1.01769,1.22825,0.8501,0.83676,0.91942,0.53377,0.80179,0.78689,0.81283,0.37367,1.36525,2.92353,0.01197,0.89027,1.497,0.0001355,0.0001355,0.0001355
115,406.73,1.01872,3.36824,0.07611,1.04896,1.33916,0.85075,0.84104,0.91901,0.53085,0.80951,0.78689,0.81206,0.3595,1.3545,2.96277,0.01154,0.88756,1.48991,0.000119,0.000119,0.000119
116,410.22,0.91359,3.04469,0.06721,1.00767,1.26835,0.85137,0.84522,0.91953,0.53462,0.79913,0.77049,0.81222,0.3893,1.34961,2.85161,0.01158,0.88581,1.48491,0.0001025,0.0001025,0.0001025
117,413.668,0.93825,3.22483,0.05399,1.03499,1.27451,0.84932,0.85246,0.91868,0.53059,0.78915,0.77049,0.81242,0.40076,1.35385,2.83921,0.01199,0.89527,1.48678,8.6e-05,8.6e-05,8.6e-05
