epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,243.35,1.23131,4.87068,0.23839,1.27615,1.49657,0.90698,0.63934,0.63286,0.32457,0.32558,0.22951,0.10704,0.02051,1.41373,5.10192,0.0209,1.0309,1.50659,0.0010892,0.0010892,0.0010892
71,246.798,1.10357,4.65665,0.19526,1.16821,1.31746,0.92857,0.63934,0.63223,0.3458,0.33333,0.22951,0.07875,0.01454,1.34103,5.11252,0.02106,0.98314,1.46749,0.001076,0.001076,0.001076
72,250.267,1.16617,4.73866,0.21283,1.19863,1.34151,0.94702,0.63934,0.634,0.3634,0.45609,0.31148,0.14844,0.02949,1.29836,4.73682,0.01904,0.93937,1.43516,0.0010628,0.0010628,0.0010628
73,253.739,1.07204,4.60495,0.18858,1.14899,1.28072,0.96953,0.63934,0.65253,0.34752,0.47426,0.32787,0.16635,0.03786,1.36415,4.62378,0.01576,0.95304,1.47708,0.0010496,0.0010496,0.0010496
74,257.225,1.10519,4.82818,0.18745,1.14093,1.31457,0.87985,0.72131,0.71582,0.29494,0.43137,0.36066,0.17548,0.05402,1.55144,4.44197,0.01431,1.07135,1.65384,0.0010364,0.0010364,0.0010364
75,260.782,1.16519,4.6899,0.23245,1.28509,1.38859,0.87985,0.72131,0.71582,0.29494,0.43137,0.36066,0.17548,0.05402,1.55144,4.44197,0.01431,1.07135,1.65384,0.0010232,0.0010232,0.0010232
76,264.314,1.1111,4.54683,0.22687,1.18244,1.36473,0.88,0.72131,0.71531,0.25919,0.44,0.36066,0.17582,0.04245,1.66252,4.45819,0.01333,1.06879,1.75896,0.00101,0.00101,0.00101
77,267.799,1.10923,4.81827,0.20506,1.14536,1.30913,0.89362,0.68852,0.68013,0.28504,0.49327,0.32787,0.17616,0.04274,1.52223,4.4872,0.01404,0.99587,1.61951,0.0009968,0.0009968,0.0009968
78,271.279,1.06936,4.61779,0.1998,1.17183,1.28661,0.96447,0.63934,0.63475,0.33594,0.46727,0.31148,0.15204,0.04906,1.30288,4.55057,0.01362,0.93116,1.45433,0.0009836,0.0009836,0.0009836
79,274.842,1.11732,4.57773,0.20174,1.07783,1.28097,0.90698,0.63934,0.63275,0.36156,0.46512,0.32787,0.15854,0.03789,1.24958,4.58133,0.01264,0.94522,1.42218,0.0009704,0.0009704,0.0009704
80,278.592,1.07886,4.35517,0.20211,1.08948,1.31669,0.8913,0.67213,0.66869,0.37893,0.51328,0.36066,0.21709,0.05037,1.31655,4.47312,0.01272,0.96435,1.47517,0.0009572,0.0009572,0.0009572
81,282.201,1.0987,4.64639,0.22339,1.17614,1.34487,0.89796,0.72131,0.7175,0.29313,0.46939,0.37705,0.20443,0.0526,1.57838,4.52412,0.01379,1.04904,1.68327,0.000944,0.000944,0.000944
82,285.756,1.14986,4.29642,0.21195,1.15538,1.41925,0.91667,0.72131,0.71725,0.26236,0.39583,0.31148,0.13406,0.03854,1.68939,4.71202,0.01344,1.13421,1.77768,0.0009308,0.0009308,0.0009308
83,289.305,1.09655,4.18605,0.18537,1.06967,1.32406,0.8913,0.67213,0.6699,0.29649,0.3933,0.29508,0.13007,0.03399,1.52128,4.7035,0.01256,1.09553,1.61542,0.0009176,0.0009176,0.0009176
84,292.779,1.10825,4.32842,0.20664,1.13511,1.367,0.9677,0.63934,0.65178,0.35571,0.55556,0.40984,0.29278,0.06573,1.3413,4.38343,0.013,1.00983,1.48035,0.0009044,0.0009044,0.0009044
85,296.314,1.09458,4.26646,0.2324,1.16339,1.33065,0.95011,0.6244,0.63451,0.35924,0.54882,0.36066,0.27257,0.08399,1.33648,4.57133,0.0139,0.95999,1.48542,0.0008912,0.0008912,0.0008912
86,299.906,1.08995,4.05777,0.23369,1.04382,1.34694,0.92803,0.62295,0.63377,0.33573,0.5,0.36066,0.25707,0.07101,1.40459,4.71832,0.01519,0.9598,1.53781,0.000878,0.000878,0.000878
87,303.388,1.13543,4.25744,0.20537,1.12695,1.35479,0.90909,0.65574,0.65192,0.28506,0.67283,0.44262,0.36913,0.11593,1.54235,4.08097,0.01492,1.01196,1.64331,0.0008648,0.0008648,0.0008648
88,306.905,0.9996,4.17523,0.18712,1.09067,1.29768,0.95018,0.63934,0.63451,0.25045,0.60465,0.42623,0.29973,0.07607,1.59455,4.11061,0.01337,1.04806,1.69518,0.0008516,0.0008516,0.0008516
89,310.418,1.07592,4.16267,0.17863,1.09239,1.30129,0.91111,0.67213,0.67119,0.2837,0.49127,0.36066,0.22733,0.06916,1.5212,4.1834,0.01256,1.04594,1.62473,0.0008384,0.0008384,0.0008384
90,313.932,1.10029,4.14575,0.19721,1.09854,1.31892,0.91003,0.66334,0.67158,0.3245,0.66667,0.52459,0.43228,0.12146,1.38116,3.94443,0.01172,0.99224,1.51053,0.0008252,0.0008252,0.0008252
91,317.508,1.04217,3.95072,0.1942,1.11608,1.30945,0.91003,0.66334,0.67158,0.3245,0.66667,0.52459,0.43228,0.12146,1.38116,3.94443,0.01172,0.99224,1.51053,0.000812,0.000812,0.000812
92,321.104,1.04681,3.91014,0.20774,1.10359,1.32681,0.95777,0.63934,0.67143,0.3309,0.70833,0.55738,0.45234,0.14268,1.43505,3.78223,0.01144,0.98391,1.54521,0.0007988,0.0007988,0.0007988
93,324.692,1.13543,4.09971,0.21022,1.1181,1.35471,0.89362,0.68852,0.68076,0.24965,0.65957,0.5082,0.3831,0.12494,1.74064,3.76269,0.01113,1.04536,1.81472,0.0007856,0.0007856,0.0007856
94,328.175,1.13387,4.02643,0.21358,1.09516,1.39212,0.95898,0.63934,0.65243,0.21975,0.75,0.54098,0.44856,0.13718,1.86334,3.64338,0.01056,1.0828,1.93664,0.0007724,0.0007724,0.0007724
95,331.692,1.0587,4.03638,0.20087,1.15971,1.31573,0.95179,0.63934,0.6521,0.25222,0.73795,0.4918,0.39529,0.14029,1.72946,3.60136,0.01056,1.02355,1.80351,0.0007592,0.0007592,0.0007592
96,335.159,1.08317,3.9436,0.21136,1.12011,1.33698,0.94076,0.65574,0.65305,0.29421,0.82473,0.59016,0.5553,0.16388,1.57483,3.52811,0.01024,0.97456,1.66488,0.000746,0.000746,0.000746
97,338.651,1.07071,3.73688,0.18411,1.04328,1.28063,0.97558,0.65506,0.65354,0.31042,0.82985,0.59016,0.54953,0.16726,1.53388,3.45791,0.00986,0.96968,1.63257,0.0007328,0.0007328,0.0007328
98,342.248,1.08326,3.7853,0.2074,1.0428,1.31062,0.94775,0.63934,0.65285,0.30174,0.835,0.58083,0.54224,0.15435,1.57544,3.5149,0.0099,0.99665,1.6707,0.0007196,0.0007196,0.0007196
99,345.744,1.03328,3.92128,0.17648,1.10037,1.27811,0.97472,0.63223,0.65253,0.3066,0.82222,0.60656,0.56729,0.20077,1.58019,3.3489,0.00966,1.00445,1.67549,0.0007064,0.0007064,0.0007064
100,349.317,1.0317,3.92072,0.21443,1.13289,1.32443,0.97469,0.63137,0.65253,0.33814,0.8,0.59016,0.53199,0.20893,1.48427,3.34122,0.01102,0.97355,1.58953,0.0006932,0.0006932,0.0006932
101,352.92,1.08715,3.82066,0.20636,1.10355,1.32711,0.95186,0.62295,0.65229,0.37185,0.8,0.59016,0.5245,0.17748,1.31783,3.5379,0.01136,0.95396,1.46019,0.00068,0.00068,0.00068
102,356.483,1.05574,3.90328,0.22553,1.06818,1.33431,0.92225,0.63934,0.65078,0.41482,0.73333,0.54098,0.43779,0.1381,1.19351,3.73527,0.01304,0.91309,1.37191,0.0006668,0.0006668,0.0006668
